Subdomain,IP,Cloudflare
dynamodb.us-west-2.amazonaws.com,52.94.29.158,false
ec2-107-20-205-6.compute-1.amazonaws.com,107.20.205.6,false
ec2-107-21-237-46.compute-1.amazonaws.com,107.21.237.46,false
ec2-122-248-209-166.ap-southeast-1.compute.amazonaws.com,122.248.209.166,false
ec2-122-248-237-48.ap-southeast-1.compute.amazonaws.com,122.248.237.48,false
ec2-175-41-242-177.ap-northeast-1.compute.amazonaws.com,175.41.242.177,false
ec2-176-34-29-222.ap-northeast-1.compute.amazonaws.com,176.34.29.222,false
ec2-23-22-51-152.compute-1.amazonaws.com,23.22.51.152,false
ec2-50-112-25-115.us-west-2.compute.amazonaws.com,50.112.25.115,false
ec2-50-16-180-182.compute-1.amazonaws.com,50.16.180.182,false
ec2-50-17-201-91.compute-1.amazonaws.com,50.17.201.91,false
ec2-50-18-58-12.us-west-1.compute.amazonaws.com,50.18.58.12,false
ec2-52-11-107-90.us-west-2.compute.amazonaws.com,52.11.107.90,false
ec2-52-11-17-185.us-west-2.compute.amazonaws.com,52.11.17.185,false
ec2-52-18-216-250.eu-west-1.compute.amazonaws.com,52.18.216.250,false
ec2-52-192-217-122.ap-northeast-1.compute.amazonaws.com,52.192.217.122,false
ec2-52-192-246-154.ap-northeast-1.compute.amazonaws.com,52.192.246.154,false
ec2-52-193-231-156.ap-northeast-1.compute.amazonaws.com,52.193.231.156,false
ec2-52-197-121-129.ap-northeast-1.compute.amazonaws.com,52.197.121.129,false
ec2-52-197-92-230.ap-northeast-1.compute.amazonaws.com,52.197.92.230,false
ec2-52-198-54-221.ap-northeast-1.compute.amazonaws.com,52.198.54.221,false
ec2-52-198-6-150.ap-northeast-1.compute.amazonaws.com,52.198.6.150,false
ec2-52-198-85-218.ap-northeast-1.compute.amazonaws.com,52.198.85.218,false
ec2-52-200-231-134.compute-1.amazonaws.com,52.200.231.134,false
ec2-52-201-245-17.compute-1.amazonaws.com,52.201.245.17,false
ec2-52-201-248-34.compute-1.amazonaws.com,52.201.248.34,false
ec2-52-201-65-29.compute-1.amazonaws.com,52.201.65.29,false
ec2-52-206-254-126.compute-1.amazonaws.com,52.206.254.126,false
ec2-52-207-200-34.compute-1.amazonaws.com,52.207.200.34,false
ec2-52-220-86-152.ap-southeast-1.compute.amazonaws.com,52.220.86.152,false
ec2-52-23-249-148.compute-1.amazonaws.com,52.23.249.148,false
ec2-52-24-28-192.us-west-2.compute.amazonaws.com,52.24.28.192,false
ec2-52-24-46-63.us-west-2.compute.amazonaws.com,52.24.46.63,false
ec2-52-24-46-91.us-west-2.compute.amazonaws.com,52.24.46.91,false
ec2-52-25-172-114.us-west-2.compute.amazonaws.com,52.25.172.114,false
ec2-52-25-219-148.us-west-2.compute.amazonaws.com,52.25.219.148,false
ec2-52-25-54-180.us-west-2.compute.amazonaws.com,52.25.54.180,false
ec2-52-28-157-183.eu-central-1.compute.amazonaws.com,52.28.157.183,false
ec2-52-28-202-220.eu-central-1.compute.amazonaws.com,52.28.202.220,false
ec2-52-28-38-0.eu-central-1.compute.amazonaws.com,52.28.38.0,false
ec2-52-29-209-106.eu-central-1.compute.amazonaws.com,52.29.209.106,false
